DATE,SHARE_CODE,ISSUER_NAME,INVESTOR_NAME,INVESTOR_TYPE,LOCAL_FOREIGN,NATIONALITY,DOMICILE,HOLDINGS_SCRIPLESS,HOLDINGS_SCRIP,TOTAL_HOLDING_SHARES,PERCENTAGE,ISSUER_NAME_CLEAN,INVESTOR_NAME_CLEAN,SOURCE_DATE_STR
2026-03-31,AADI,ADARO ANDALAN INDONESIA Tbk,ADARO STRATEGIC INVESTMENTS,CP,L,,INDONESIA,3200142830,0.0,3200142830,41.1,Adaro Andalan Indonesia,Adaro Strategic Investments,2026-04-02
2026-03-31,AADI,ADARO ANDALAN INDONESIA Tbk,ALAMTRI RESOURCES INDONESIA TBK PT,CP,L,,INDONESIA,1197023942,0.0,1197023942,15.37,Adaro Andalan Indonesia,Alamtri Resources Indonesia,2026-04-02
2026-03-31,AADI,ADARO ANDALAN INDONESIA Tbk,GARIBALDI THOHIR,ID,L,INDONESIAN,INDONESIA,454011607,0.0,454011607,5.83,Adaro Andalan Indonesia,Garibaldi Thohir,2026-04-02
2026-03-31,AADI,ADARO ANDALAN INDONESIA Tbk,SARATOGA INVESTAMA SEDAYA TBK PT,CP,L,,INDONESIA,340897429,0.0,340897429,4.38,Adaro Andalan Indonesia,Saratoga Investama Sedaya,2026-04-02
2026-03-31,AADI,ADARO ANDALAN INDONESIA Tbk,EDWIN SOERYADJAYA,ID,L,INDONESIAN,INDONESIA,273955636,0.0,273955636,3.52,Adaro Andalan Indonesia,Edwin Soeryadjaya,2026-04-02
2026-03-31,AADI,ADARO ANDALAN INDONESIA Tbk,IR. T. PERMADI RACHMAT,ID,L,INDONESIAN,INDONESIA,254992918,0.0,254992918,3.27,Adaro Andalan Indonesia,T Permadi Rachmat,2026-04-02
2026-03-31,AADI,ADARO ANDALAN INDONESIA Tbk,SANDIAGA SALAHUDDIN UNO,ID,L,INDONESIAN,INDONESIA,159027175,0.0,159027175,2.04,Adaro Andalan Indonesia,Sandiaga Salahuddin Uno,2026-04-02
2026-03-31,AADI,ADARO ANDALAN INDONESIA Tbk,PERSADA CAPITAL INVESTAMA,CP,L,,INDONESIA,220609170,0.0,220609170,2.83,Adaro Andalan Indonesia,Persada Capital Investama,2026-04-02
2026-03-31,AADI,ADARO ANDALAN INDONESIA Tbk,PT TRINUGRAHA THOHIR,CP,L,,INDONESIA,89926520,0.0,89926520,1.15,Adaro Andalan Indonesia,Trinugraha Thohir,2026-04-02
2026-03-31,AALI,ASTRA AGRO LESTARI Tbk,PT ASTRA INTERNATIONAL TBK,CP,L,,INDONESIA,0,1533682440.0,1533682440,79.68,Astra Agro Lestari,Astra International,2026-04-02
2026-03-31,AALI,ASTRA AGRO LESTARI Tbk,DJS KETENAGAKERJAAN PROGRAM JAMINAN HARI TUA,IS,L,,INDONESIA,41979300,0.0,41979300,2.18,Astra Agro Lestari,BPJS Ketenagakerjaan,2026-04-02
2026-03-31,ABBA,MAHAKA MEDIA Tbk,PT BEYOND MEDIA,CP,L,,INDONESIA,1592831618,0.0,1592831618,40.47,Mahaka Media,Beyond Media,2026-04-02
2026-03-31,ABBA,MAHAKA MEDIA Tbk,SOLIC KREASI BARU PT,CP,L,,INDONESIA,542042122,0.0,542042122,13.77,Mahaka Media,Solic Kreasi Baru,2026-04-02
2026-03-31,ABBA,MAHAKA MEDIA Tbk,MEDIAHUIS IRELAND LIMITED,,,,,0,282886300.0,282886300,7.19,Mahaka Media,Mediahuis Ireland,2026-04-02
2026-03-31,ABBA,MAHAKA MEDIA Tbk,DRS. WINARTO,ID,L,INDONESIAN,,178745400,0.0,178745400,4.54,Mahaka Media,Winarto,2026-04-02
2026-03-31,ABBA,MAHAKA MEDIA Tbk,YAYASAN ABDI BANGSA,,,,,0,111372886.0,111372886,2.83,Mahaka Media,Yayasan Abdi Bangsa,2026-04-02
2026-03-31,ABBA,MAHAKA MEDIA Tbk,YAYASAN BINA SEJAHTERA WARGA BULOG,,,,,0,52975286.0,52975286,1.35,Mahaka Media,Yayasan Bina Sejahtera Warga Bulog,2026-04-02
2026-03-31,ABBA,MAHAKA MEDIA Tbk,PT KAIROS EKSPRES INTERNASIONAL,CP,L,,INDONESIA,52362500,0.0,52362500,1.33,Mahaka Media,Kairos Ekspres Internasional,2026-04-02
2026-03-31,ABBA,MAHAKA MEDIA Tbk,PT.Grid One Media,CP,L,,INDONESIA,43791628,0.0,43791628,1.11,Mahaka Media,Grid One Media,2026-04-02
2026-03-31,ABBA,MAHAKA MEDIA Tbk,TJEN FOENG FA,ID,L,INDONESIAN,INDONESIA,41856300,0.0,41856300,1.06,Mahaka Media,Tjen Foeng Fa,2026-04-02
2026-03-31,ABBA,MAHAKA MEDIA Tbk,PEARL HILL INVESTMENTS LTD,IB,F,,"VIRGIN ISLANDS, BRITISH",39999999,0.0,39999999,1.02,Mahaka Media,Pearl Hill Investments,2026-04-02
2026-03-31,ABDA,ASURANSI BINA DANA ARTA Tbk,OONA INDONESIA PTE LTD,IS,F,,SINGAPORE,538555304,0.0,538555304,86.75,Asuransi Bina Dana Arta,Oona Indonesia,2026-04-02
2026-03-31,ABDA,ASURANSI BINA DANA ARTA Tbk,MAYBANK SECURITIES PTE. LTD.,SC,F,,SINGAPORE,30499400,0.0,30499400,4.91,Asuransi Bina Dana Arta,Maybank,2026-04-02
2026-03-31,ABDA,ASURANSI BINA DANA ARTA Tbk,DBS BANK LTD.,IB,F,,SINGAPORE,28000000,0.0,28000000,4.51,Asuransi Bina Dana Arta,DBS,2026-04-02
2026-03-31,ABDA,ASURANSI BINA DANA ARTA Tbk,SKYLIGHT INVESTMENT LTD,CP,F,,CAYMAN ISLANDS,21728234,0.0,21728234,3.5,Asuransi Bina Dana Arta,Skylight Investment,2026-04-02
2026-03-31,ABMM,ABM INVESTAMA Tbk,PT TIARA MARGA TRAKINDO,CP,L,,INDONESIA,1474573133,0.0,1474573133,53.56,Abm Investama,Tiara Marga Trakindo,2026-04-02
2026-03-31,ABMM,ABM INVESTAMA Tbk,VALLE VERDE PTE LTD,CP,F,,SINGAPORE,702349867,0.0,702349867,25.51,Abm Investama,Valle Verde,2026-04-02
2026-03-31,ABMM,ABM INVESTAMA Tbk,DRS LO KHENG HONG,ID,L,INDONESIAN,INDONESIA,155382400,0.0,155382400,5.64,Abm Investama,Lo Kheng Hong,2026-04-02
