date,stock_code,total_shares,total_scripless,cp_domestic,fd_domestic,ib_domestic,id_domestic,is_domestic,mf_domestic,ot_domestic,pf_domestic,sc_domestic,cp_foreign,fd_foreign,ib_foreign,id_foreign,is_foreign,mf_foreign,ot_foreign,pf_foreign,sc_foreign,total_domestic,total_foreign,calculated_total,parsed_date,year,month,month_name,year_month
30-Jan-2026,AGAR,1000000000.0,1000000000.0,49057800.0,0.0,0.0,200570700.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,19800.0,211000.0,0.0,0.0,0.0,0.0,213200.0,249628500.0,444200.0,250072700.0,2026-01-30,2026,1,January,2026-01
30-Jan-2026,AGII,3066660000.0,2235517000.0,1779109.0,926500.0,0.0,73130391.0,5678500.0,9504400.0,0.0,1790100.0,60.0,99171840.0,0.0,18692600.0,8955400.0,0.0,2946200.0,0.0,0.0,9759100.0,92809060.0,139525140.0,232334200.0,2026-01-30,2026,1,January,2026-01
30-Jan-2026,AGRO,24740494294.0,24483477393.0,117506090.0,2214957.0,68187428.0,2365975982.0,0.0,4625798.0,894971.0,602651003.0,2698318.0,4762380.0,0.0,53967152.0,13365789.0,0.0,0.0,0.0,0.0,6866567.0,3164754547.0,78961888.0,3243716435.0,2026-01-30,2026,1,January,2026-01
30-Jan-2026,AGRS,47864384874.0,8276148829.0,389707272.0,31.0,0.0,1663323058.0,0.0,0.0,0.0,0.0,1414728469.0,1.0,0.0,11410714.0,59116202.0,0.0,33091400.0,0.0,0.0,3318342.0,3467758830.0,106936659.0,3574695489.0,2026-01-30,2026,1,January,2026-01
30-Jan-2026,AHAP,4900000000.0,4895659142.0,35934081.0,66.0,0.0,961099628.0,0.0,0.0,0.0,0.0,55197.0,475155.0,0.0,33922441.0,160261199.0,64086000.0,0.0,0.0,0.0,6701300.0,997088972.0,265446095.0,1262535067.0,2026-01-30,2026,1,January,2026-01
30-Jan-2026,AIMS,220000000.0,219850000.0,2721200.0,0.0,0.0,53219558.0,0.0,0.0,0.0,0.0,18000.0,0.0,0.0,968500.0,14707200.0,0.0,0.0,0.0,0.0,10400.0,55958758.0,15686100.0,71644858.0,2026-01-30,2026,1,January,2026-01
30-Jan-2026,AISA,9311800000.0,9311172500.0,113115783.0,160.0,0.0,1603282910.0,169631429.0,3364513.0,8794665.0,4350400.0,1130713.0,321546902.0,0.0,183276712.0,6551825.0,0.0,0.0,500.0,1927300.0,10097116.0,1903670573.0,523400355.0,2427070928.0,2026-01-30,2026,1,January,2026-01
30-Jan-2026,AKKU,6449463636.0,6449463636.0,3008215700.0,6900.0,0.0,635411536.0,0.0,0.0,0.0,0.0,664400.0,195389000.0,0.0,23000100.0,850200.0,0.0,0.0,72535000.0,0.0,2040400.0,3644298536.0,293814700.0,3938113236.0,2026-01-30,2026,1,January,2026-01
30-Jan-2026,AKPI,612248000.0,247265039.0,29158827.0,0.0,2.0,100419804.0,4000.0,17500.0,0.0,0.0,2122.0,33.0,0.0,49401.0,454303.0,0.0,0.0,10267.0,34.0,94400.0,129602255.0,608438.0,130210693.0,2026-01-30,2026,1,January,2026-01
30-Jan-2026,AKRA,20073474600.0,10361845500.0,337059100.0,21491825.0,5000000.0,899348785.0,767014500.0,372249121.0,470000.0,150062900.0,3780377.0,163005934.0,8217300.0,504372492.0,11971900.0,38274300.0,1772155711.0,1062920063.0,915421185.0,216413007.0,2556476608.0,4692751892.0,7249228500.0,2026-01-30,2026,1,January,2026-01
30-Jan-2026,AKSI,720000000.0,57538500.0,6486844.0,0.0,0.0,50571256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429600.0,50500.0,0.0,0.0,0.0,0.0,300.0,57058100.0,480400.0,57538500.0,2026-01-30,2026,1,January,2026-01
30-Jan-2026,ALDO,2700713744.0,2700713744.0,150557948.0,0.0,0.0,739119486.0,0.0,0.0,0.0,0.0,82.0,12.0,0.0,462632.0,1800.0,0.0,0.0,0.0,0.0,0.0,889677516.0,464444.0,890141960.0,2026-01-30,2026,1,January,2026-01
30-Jan-2026,ALII,15825800000.0,15825800000.0,134879000.0,0.0,0.0,555802910.0,0.0,0.0,0.0,0.0,2284600.0,200491600.0,0.0,25377000.0,375943450.0,0.0,2584424640.0,0.0,0.0,2596800.0,692966510.0,3188833490.0,3881800000.0,2026-01-30,2026,1,January,2026-01
30-Jan-2026,ALKA,507665055.0,66752328.0,14390500.0,0.0,77500.0,49502905.0,0.0,0.0,0.0,0.0,21200.0,0.0,0.0,43200.0,2716923.0,0.0,0.0,0.0,0.0,100.0,63992105.0,2760223.0,66752328.0,2026-01-30,2026,1,January,2026-01
30-Jan-2026,ALMI,3816000000.0,179503740.0,97045340.0,0.0,0.0,47006400.0,0.0,0.0,0.0,0.0,303000.0,0.0,0.0,32818700.0,725800.0,0.0,0.0,0.0,0.0,1604500.0,144354740.0,35149000.0,179503740.0,2026-01-30,2026,1,January,2026-01
30-Jan-2026,ALTO,2191870558.0,2191619058.0,67643350.0,0.0,0.0,577030024.0,0.0,0.0,0.0,0.0,18207175.0,0.0,0.0,7560100.0,46000.0,0.0,0.0,0.0,0.0,6098400.0,662880549.0,13704500.0,676585049.0,2026-01-30,2026,1,January,2026-01
30-Jan-2026,AMAG,5001552516.0,1000243350.0,191754821.0,0.0,0.0,35228496.0,55058700.0,0.0,0.0,210019533.0,23887500.0,5548600.0,0.0,1463400.0,7770000.0,0.0,3352200.0,100000.0,0.0,78060100.0,515949050.0,96294300.0,612243350.0,2026-01-30,2026,1,January,2026-01
30-Jan-2026,AMAN,3873500000.0,585000000.0,1250500.0,0.0,0.0,572271900.0,0.0,0.0,0.0,0.0,0.0,4624300.0,0.0,6196900.0,1000.0,0.0,0.0,0.0,0.0,655400.0,573522400.0,11477600.0,585000000.0,2026-01-30,2026,1,January,2026-01
30-Jan-2026,AMAR,18381094760.0,18197283760.0,57651172.0,176.0,367421455.0,431201550.0,0.0,0.0,0.0,0.0,539.0,3562185.0,0.0,116544214.0,3189239.0,0.0,21391898.0,821275.0,0.0,30350620.0,856274892.0,175859431.0,1032134323.0,2026-01-30,2026,1,January,2026-01
30-Jan-2026,AMFG,434000000.0,85539500.0,13626782.0,0.0,0.0,35079500.0,23500.0,28600.0,0.0,0.0,35076.0,21576583.0,76900.0,1167000.0,390300.0,114800.0,455700.0,217400.0,162700.0,12584659.0,48793458.0,36746042.0,85539500.0,2026-01-30,2026,1,January,2026-01
30-Jan-2026,AMIN,1080000000.0,349200000.0,0.0,0.0,0.0,71529100.0,0.0,0.0,0.0,0.0,0.0,17466100.0,0.0,2924300.0,135986700.0,0.0,0.0,0.0,0.0,12093800.0,71529100.0,168470900.0,240000000.0,2026-01-30,2026,1,January,2026-01
30-Jan-2026,AMMN,72518217656.0,72518217656.0,5389861873.0,2668800.0,0.0,950154039.0,263269200.0,134723472.0,335500.0,24268200.0,174614531.0,629883396.0,4548700.0,707952369.0,241627271.0,64958491.0,2337857279.0,2584039754.0,506713840.0,366843295.0,6939895615.0,7444424395.0,14384320010.0,2026-01-30,2026,1,January,2026-01
30-Jan-2026,AMMS,1235296802.0,1235296802.0,954400.0,38.0,0.0,244419445.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,264800.0,478500.0,0.0,0.0,0.0,0.0,942000.0,245374002.0,1685300.0,247059302.0,2026-01-30,2026,1,January,2026-01
30-Jan-2026,AMOR,2222222400.0,888102400.0,62501200.0,0.0,0.0,76517900.0,8945500.0,0.0,0.0,0.0,21516300.0,0.0,0.0,28936000.0,1871200.0,10730454.0,1088100.0,719846.0,0.0,154300.0,169480900.0,43499900.0,212980800.0,2026-01-30,2026,1,January,2026-01
30-Jan-2026,AMRT,41524501700.0,35171566300.0,2148532375.0,8484800.0,0.0,3868887290.0,478240400.0,420454272.0,0.0,57356000.0,4448638.0,4280921703.0,10369500.0,468754211.0,3104400.0,93486425.0,4952426903.0,1748005144.0,1720668655.0,421109925.0,6986403775.0,13698846866.0,20685250641.0,2026-01-30,2026,1,January,2026-01
